ID,Academy,Talent,Training,16End,16Bat,16Bowl,16Tech,16Power,16Keep,16Field,17End,17Bat,17Bowl,17Tech,17Power,17Keep,17Field,18End,18Bat,18Bowl,18Tech,18Power,18Keep,18Field,19End,19Bat,19Bowl,19Tech,19Power,19Keep,19Field,20End,20Bat,20Bowl,20Tech,20Power,20Keep,20Field,21End,21Bat,21Bowl,21Tech,21Power,21Keep,21Field,22End,22Bat,22Bowl,22Tech,22Power,22Keep,22Field,23End,23Bat,23Bowl,23Tech,23Power,23Keep,23Field,24End,24Bat,24Bowl,24Tech,24Power,24Keep,24Field,25End,25Bat,25Bowl,25Tech,25Power,25Keep,25Field,26End,26Bat,26Bowl,26Tech,26Power,26Keep,26Field,27End,27Bat,27Bowl,27Tech,27Power,27Keep,27Field,28End,28Bat,28Bowl,28Tech,28Power,28Keep,28Field,29End,29Bat,29Bowl,29Tech,29Power,29Keep,29Field,30End,30Bat,30Bowl,30Tech,30Power,30Keep,30Field,31End,31Bat,31Bowl,31Tech,31Power,31Keep,31Field
deluxeProdigyAll-Rounder,deluxe,Prodigy,All-Rounder,39,99,99,86,,,,39,94,94,82,,,,39,90,90,78,,,,39,82,82,71,,,,39,76,76,66,,,,32,58,58,51,,,,32,54,54,46,,,,32,48,48,42,,,,32,43,43,38,,,,32,39,39,34,,,,32,34,34,29,,,,32,30,30,26,,,,32,27,27,23,,,,32,24,24,20,,,,32,20,20,17,,,,29,16,16,14,,,
deluxeProdigyKeeping,deluxe,Prodigy,Keeping,39,,,102,,299,74,39,,,98,,286,71,39,,,94,,274,68,39,,,85,,249,62,39,,,79,,230,58,32,,,61,,177,44,32,,,56,,163,40,32,,,50,,147,36,32,,,45,,132,33,32,,,40,,118,29,32,,,35,,104,26,32,,,32,,92,22,32,,,28,,83,20,32,,,25,,72,18,32,,,21,,62,15,29,,,17,,51,12
deluxeProdigyKeeper-Batsman,deluxe,Prodigy,Keeper-Batsman,39,112,,102,,149,56,39,107,,98,,143,53,39,102,,94,,136,51,39,93,,85,,124,46,39,86,,79,,116,43,32,66,,61,,88,33,32,61,,56,,81,30,32,55,,50,,73,27,32,49,,45,,66,24,32,44,,40,,59,21,32,39,,35,,52,19,32,34,,31,,46,17,32,31,,28,,41,15,32,27,,25,,36,13,32,23,,21,,31,11,29,19,,17,,25,9
deluxeProdigyFielding,deluxe,Prodigy,Fielding,39,,,56,,,411,39,,,53,,,393,39,,,51,,,376,39,,,46,,,343,39,,,43,,,319,32,,,33,,,244,32,,,30,,,224,32,,,27,,,202,32,,,24,,,182,32,,,22,,,162,32,,,19,,,143,32,,,17,,,127,32,,,15,,,114,32,,,13,,,100,32,,,11,,,85,29,,,9,,,70
deluxeProdigyFitness,deluxe,Prodigy,Fitness,312,,,,54,,,312,,,,65,,,312,,,,76,,,312,,,,87,,,312,,,,92,,,260,,,,81,,,260,,,,86,,,260,,,,91,,,260,,,,91,,,260,,,,91,,,260,,,,91,,,260,,,,91,,,260,,,,81,,,260,,,,72,,,260,,,,63,,,234,,,,54,,
deluxeProdigyStrength,deluxe,Prodigy,Strength,101,,,,148,,,101,,,,177,,,101,,,,207,,,101,,,,235,,,101,,,,250,,,84,,,,222,,,84,,,,233,,,84,,,,247,,,84,,,,247,,,84,,,,247,,,84,,,,247,,,84,,,,247,,,84,,,,222,,,84,,,,197,,,84,,,,172,,,76,,,,148,,
deluxeGifted (Batting)Batting,deluxe,Gifted (Batting),Batting,32,140,,85,,,,32,134,,81,,,,32,128,,78,,,,32,117,,71,,,,32,108,,66,,,,32,100,,61,,,,32,92,,56,,,,32,83,,50,,,,32,74,,45,,,,32,66,,40,,,,32,58,,35,,,,32,51,,31,,,,32,46,,28,,,,32,40,,25,,,,32,35,,21,,,,29,29,,17,,,
deluxeGifted (Batting)Batting-Tech,deluxe,Gifted (Batting),Batting-Tech,32,102,,132,,,,32,98,,126,,,,32,94,,121,,,,32,85,,110,,,,32,79,,102,,,,32,73,,94,,,,32,67,,86,,,,32,60,,78,,,,32,54,,70,,,,32,48,,62,,,,32,42,,55,,,,32,38,,49,,,,32,34,,44,,,,32,30,,38,,,,32,25,,33,,,,29,21,,27,,,
deluxeGifted (Batting)All-Rounder,deluxe,Gifted (Batting),All-Rounder,32,99,82,71,,,,32,94,78,68,,,,32,90,75,65,,,,32,82,68,59,,,,32,76,63,55,,,,32,71,58,51,,,,32,65,54,46,,,,32,58,48,42,,,,32,52,43,38,,,,32,47,39,34,,,,32,41,34,29,,,,32,36,30,26,,,,32,32,27,23,,,,32,28,24,20,,,,32,24,20,17,,,,29,20,16,14,,,
deluxeGifted (Batting)Keeper-Batsman,deluxe,Gifted (Batting),Keeper-Batsman,32,112,,85,,124,46,32,107,,81,,119,44,32,102,,78,,114,42,32,93,,71,,104,39,32,86,,66,,96,36,32,80,,61,,88,33,32,73,,56,,81,30,32,66,,50,,73,27,32,59,,45,,66,24,32,53,,40,,59,21,32,46,,35,,52,19,32,42,,31,,46,17,32,37,,28,,41,15,32,32,,25,,36,13,32,28,,21,,31,11,29,23,,17,,25,9
deluxeGifted (Bowling)Bowling,deluxe,Gifted (Bowling),Bowling,32,,140,85,,,,32,,134,81,,,,32,,128,78,,,,32,,117,71,,,,32,,108,66,,,,32,,100,61,,,,32,,92,56,,,,32,,83,50,,,,32,,74,45,,,,32,,66,40,,,,32,,58,35,,,,32,,51,31,,,,32,,46,28,,,,32,,40,25,,,,32,,35,21,,,,29,,29,17,,,
deluxeGifted (Bowling)Bowling-Tech,deluxe,Gifted (Bowling),Bowling-Tech,32,,102,132,,,,32,,98,126,,,,32,,94,121,,,,32,,85,110,,,,32,,79,102,,,,32,,73,94,,,,32,,67,86,,,,32,,60,78,,,,32,,54,70,,,,32,,48,62,,,,32,,42,55,,,,32,,38,49,,,,32,,34,44,,,,32,,30,38,,,,32,,25,33,,,,29,,21,27,,,
deluxeGifted (Bowling)All-Rounder,deluxe,Gifted (Bowling),All-Rounder,32,82,99,71,,,,32,78,94,68,,,,32,75,90,65,,,,32,68,82,59,,,,32,63,76,55,,,,32,58,71,51,,,,32,54,65,46,,,,32,48,58,42,,,,32,43,52,38,,,,32,39,47,34,,,,32,34,41,29,,,,32,30,36,26,,,,32,27,32,23,,,,32,24,28,20,,,,32,20,24,17,,,,29,16,20,14,,,
deluxeGifted (Technique)Batting,deluxe,Gifted (Technique),Batting,32,117,,102,,,,32,111,,98,,,,32,107,,94,,,,32,97,,85,,,,32,90,,79,,,,32,83,,73,,,,32,76,,67,,,,32,69,,60,,,,32,62,,54,,,,32,55,,48,,,,32,48,,42,,,,32,43,,38,,,,32,39,,34,,,,32,34,,30,,,,32,29,,25,,,,29,24,,21,,,
deluxeGifted (Technique)Batting-Tech,deluxe,Gifted (Technique),Batting-Tech,32,85,,158,,,,32,81,,152,,,,32,78,,145,,,,32,71,,132,,,,32,66,,123,,,,32,61,,113,,,,32,56,,104,,,,32,50,,94,,,,32,45,,84,,,,32,40,,75,,,,32,35,,66,,,,32,31,,59,,,,32,28,,53,,,,32,25,,46,,,,32,21,,39,,,,29,17,,33,,,
deluxeGifted (Technique)Bowling,deluxe,Gifted (Technique),Bowling,32,,117,102,,,,32,,111,98,,,,32,,107,94,,,,32,,97,85,,,,32,,90,79,,,,32,,83,73,,,,32,,76,67,,,,32,,69,60,,,,32,,62,54,,,,32,,55,48,,,,32,,48,42,,,,32,,43,38,,,,32,,39,34,,,,32,,34,30,,,,32,,29,25,,,,29,,24,21,,,
deluxeGifted (Technique)Bowling-Tech,deluxe,Gifted (Technique),Bowling-Tech,32,,85,158,,,,32,,81,152,,,,32,,78,145,,,,32,,71,132,,,,32,,66,123,,,,32,,61,113,,,,32,,56,104,,,,32,,50,94,,,,32,,45,84,,,,32,,40,75,,,,32,,35,66,,,,32,,31,59,,,,32,,28,53,,,,32,,25,46,,,,32,,21,39,,,,29,,17,33,,,
deluxeGifted (Technique)All-Rounder,deluxe,Gifted (Technique),All-Rounder,32,82,82,86,,,,32,78,78,82,,,,32,75,75,78,,,,32,68,68,71,,,,32,63,63,66,,,,32,58,58,61,,,,32,54,54,56,,,,32,48,48,50,,,,32,43,43,45,,,,32,39,39,40,,,,32,34,34,35,,,,32,30,30,32,,,,32,27,27,28,,,,32,24,24,25,,,,32,20,20,21,,,,29,16,16,17,,,
deluxeGifted (Technique)Keeping,deluxe,Gifted (Technique),Keeping,32,,,102,,249,62,32,,,98,,238,59,32,,,94,,228,57,32,,,85,,208,52,32,,,79,,192,48,32,,,73,,177,44,32,,,67,,163,40,32,,,60,,147,36,32,,,54,,132,33,32,,,48,,118,29,32,,,42,,104,26,32,,,38,,92,22,32,,,34,,83,20,32,,,30,,72,18,32,,,25,,62,15,29,,,21,,51,12
deluxeGifted (Technique)Keeper-Batsman,deluxe,Gifted (Technique),Keeper-Batsman,32,93,,102,,124,46,32,89,,98,,119,44,32,85,,94,,114,42,32,78,,85,,104,39,32,72,,79,,96,36,32,66,,73,,88,33,32,61,,67,,81,30,32,55,,60,,73,27,32,49,,54,,66,24,32,44,,48,,59,21,32,39,,42,,52,19,32,34,,38,,46,17,32,31,,34,,41,15,32,27,,30,,36,13,32,23,,25,,31,11,29,19,,21,,25,9
deluxeGifted (Technique)Fielding,deluxe,Gifted (Technique),Fielding,32,,,56,,,343,32,,,53,,,327,32,,,51,,,314,32,,,46,,,286,32,,,43,,,264,32,,,40,,,244,32,,,36,,,224,32,,,33,,,202,32,,,29,,,182,32,,,26,,,162,32,,,23,,,143,32,,,21,,,127,32,,,18,,,114,32,,,16,,,100,32,,,14,,,85,29,,,11,,,70
deluxeGifted (Keeping)Keeping,deluxe,Gifted (Keeping),Keeping,32,,,85,,299,62,32,,,81,,286,59,32,,,78,,274,57,32,,,71,,249,52,32,,,66,,230,48,32,,,61,,214,44,32,,,56,,197,40,32,,,50,,177,36,32,,,45,,158,33,32,,,40,,140,29,32,,,35,,124,26,32,,,32,,112,22,32,,,28,,99,20,32,,,25,,87,18,32,,,21,,74,15,29,,,17,,62,12
deluxeGifted (Keeping)Keeper-Batsman,deluxe,Gifted (Keeping),Keeper-Batsman,32,93,,85,,149,46,32,89,,81,,143,44,32,85,,78,,136,42,32,78,,71,,124,39,32,72,,66,,116,36,32,66,,61,,107,33,32,61,,56,,98,30,32,55,,50,,88,27,32,49,,45,,79,24,32,44,,40,,71,21,32,39,,35,,62,19,32,34,,31,,56,17,32,31,,28,,49,15,32,27,,25,,43,13,32,23,,21,,37,11,29,19,,17,,31,9
deluxeGifted (Fielding)Keeping,deluxe,Gifted (Fielding),Keeping,32,,,85,,249,74,32,,,81,,238,71,32,,,78,,228,68,32,,,71,,208,62,32,,,66,,192,58,32,,,61,,177,53,32,,,56,,163,49,32,,,50,,147,44,32,,,45,,132,39,32,,,40,,118,35,32,,,35,,104,31,32,,,32,,92,27,32,,,28,,83,24,32,,,25,,72,21,32,,,21,,62,18,29,,,17,,51,15
deluxeGifted (Fielding)Keeper-Batsman,deluxe,Gifted (Fielding),Keeper-Batsman,32,93,,85,,124,56,32,89,,81,,119,53,32,85,,78,,114,51,32,78,,71,,104,46,32,72,,66,,96,43,32,66,,61,,88,40,32,61,,56,,81,36,32,55,,50,,73,33,32,49,,45,,66,29,32,44,,40,,59,26,32,39,,35,,52,23,32,34,,31,,46,21,32,31,,28,,41,18,32,27,,25,,36,16,32,23,,21,,31,14,29,19,,17,,25,11
deluxeGifted (Fielding)Fielding,deluxe,Gifted (Fielding),Fielding,32,,,46,,,411,32,,,44,,,393,32,,,42,,,376,32,,,39,,,343,32,,,36,,,319,32,,,33,,,294,32,,,30,,,271,32,,,27,,,243,32,,,24,,,219,32,,,22,,,193,32,,,19,,,171,32,,,17,,,154,32,,,15,,,137,32,,,13,,,120,32,,,11,,,102,29,,,9,,,85
deluxeGifted (Endurance)Batting,deluxe,Gifted (Endurance),Batting,39,117,,85,,,,39,111,,81,,,,39,107,,78,,,,39,97,,71,,,,39,90,,66,,,,39,83,,61,,,,39,76,,56,,,,39,69,,50,,,,39,62,,45,,,,39,55,,40,,,,39,48,,35,,,,39,43,,31,,,,39,39,,28,,,,39,34,,25,,,,39,29,,21,,,,35,24,,17,,,
deluxeGifted (Endurance)Batting-Tech,deluxe,Gifted (Endurance),Batting-Tech,39,85,,132,,,,39,81,,126,,,,39,78,,121,,,,39,71,,110,,,,39,66,,102,,,,39,61,,94,,,,39,56,,86,,,,39,50,,78,,,,39,45,,70,,,,39,40,,62,,,,39,35,,55,,,,39,31,,49,,,,39,28,,44,,,,39,25,,38,,,,39,21,,33,,,,35,17,,27,,,
deluxeGifted (Endurance)Bowling,deluxe,Gifted (Endurance),Bowling,39,,117,85,,,,39,,111,81,,,,39,,107,78,,,,39,,97,71,,,,39,,90,66,,,,39,,83,61,,,,39,,76,56,,,,39,,69,50,,,,39,,62,45,,,,39,,55,40,,,,39,,48,35,,,,39,,43,31,,,,39,,39,28,,,,39,,34,25,,,,39,,29,21,,,,35,,24,17,,,
deluxeGifted (Endurance)Bowling-Tech,deluxe,Gifted (Endurance),Bowling-Tech,39,,85,132,,,,39,,81,126,,,,39,,78,121,,,,39,,71,110,,,,39,,66,102,,,,39,,61,94,,,,39,,56,86,,,,39,,50,78,,,,39,,45,70,,,,39,,40,62,,,,39,,35,55,,,,39,,31,49,,,,39,,28,44,,,,39,,25,38,,,,39,,21,33,,,,35,,17,27,,,
deluxeGifted (Endurance)All-Rounder,deluxe,Gifted (Endurance),All-Rounder,39,82,82,71,,,,39,78,78,68,,,,39,75,75,65,,,,39,68,68,59,,,,39,63,63,55,,,,39,58,58,51,,,,39,54,54,46,,,,39,48,48,42,,,,39,43,43,38,,,,39,39,39,34,,,,39,34,34,29,,,,39,30,30,26,,,,39,27,27,23,,,,39,24,24,20,,,,39,20,20,17,,,,35,16,16,14,,,
deluxeGifted (Endurance)Keeping,deluxe,Gifted (Endurance),Keeping,39,,,85,,249,62,39,,,81,,238,59,39,,,78,,228,57,39,,,71,,208,52,39,,,66,,192,48,39,,,61,,177,44,39,,,56,,163,40,39,,,50,,147,36,39,,,45,,132,33,39,,,40,,118,29,39,,,35,,104,26,39,,,32,,92,22,39,,,28,,83,20,39,,,25,,72,18,39,,,21,,62,15,35,,,17,,51,12
deluxeGifted (Endurance)Keeper-Batsman,deluxe,Gifted (Endurance),Keeper-Batsman,39,93,,85,,124,46,39,89,,81,,119,44,39,85,,78,,114,42,39,78,,71,,104,39,39,72,,66,,96,36,39,66,,61,,88,33,39,61,,56,,81,30,39,55,,50,,73,27,39,49,,45,,66,24,39,44,,40,,59,21,39,39,,35,,52,19,39,34,,31,,46,17,39,31,,28,,41,15,39,27,,25,,36,13,39,23,,21,,31,11,35,19,,17,,25,9
deluxeGifted (Endurance)Fielding,deluxe,Gifted (Endurance),Fielding,39,,,46,,,343,39,,,44,,,327,39,,,42,,,314,39,,,39,,,286,39,,,36,,,264,39,,,33,,,244,39,,,30,,,224,39,,,27,,,202,39,,,24,,,182,39,,,22,,,162,39,,,19,,,143,39,,,17,,,127,39,,,15,,,114,39,,,13,,,100,39,,,11,,,85,35,,,9,,,70
deluxeGifted (Endurance)Fitness,deluxe,Gifted (Endurance),Fitness,312,,,,45,,,312,,,,54,,,312,,,,63,,,312,,,,72,,,312,,,,77,,,312,,,,81,,,312,,,,86,,,312,,,,91,,,312,,,,91,,,312,,,,91,,,312,,,,91,,,312,,,,91,,,312,,,,81,,,312,,,,72,,,312,,,,63,,,280,,,,54,,
deluxeGifted (Endurance)Strength,deluxe,Gifted (Endurance),Strength,101,,,,123,,,101,,,,148,,,101,,,,172,,,101,,,,197,,,101,,,,209,,,101,,,,222,,,101,,,,233,,,101,,,,247,,,101,,,,247,,,101,,,,247,,,101,,,,247,,,101,,,,247,,,101,,,,222,,,101,,,,197,,,101,,,,172,,,91,,,,148,,
deluxeGifted (Power)Fitness,deluxe,Gifted (Power),Fitness,260,,,,54,,,260,,,,65,,,260,,,,76,,,260,,,,87,,,260,,,,92,,,260,,,,98,,,260,,,,103,,,260,,,,109,,,260,,,,109,,,260,,,,109,,,260,,,,109,,,260,,,,109,,,260,,,,98,,,260,,,,87,,,260,,,,76,,,234,,,,65,,
deluxeGifted (Power)Strength,deluxe,Gifted (Power),Strength,84,,,,148,,,84,,,,177,,,84,,,,207,,,84,,,,235,,,84,,,,250,,,84,,,,266,,,84,,,,281,,,84,,,,296,,,84,,,,296,,,84,,,,296,,,84,,,,296,,,84,,,,296,,,84,,,,266,,,84,,,,235,,,84,,,,207,,,76,,,,177,,
luxuriousNoneBatting,luxurious,None,Batting,31,114,,83,,,,31,109,,80,,,,31,104,,76,,,,31,95,,69,,,,31,88,,64,,,,31,81,,60,,,,31,75,,55,,,,31,67,,49,,,,31,60,,44,,,,31,54,,39,,,,31,47,,34,,,,31,42,,31,,,,31,38,,27,,,,31,33,,24,,,,31,28,,20,,,,28,23,,17,,,
luxuriousNoneBatting-Tech,luxurious,None,Batting-Tech,31,83,,129,,,,31,80,,124,,,,31,76,,118,,,,31,69,,107,,,,31,64,,100,,,,31,60,,92,,,,31,55,,85,,,,31,49,,76,,,,31,44,,68,,,,31,39,,61,,,,31,34,,53,,,,31,31,,48,,,,31,27,,43,,,,31,24,,37,,,,31,20,,32,,,,28,17,,26,,,
luxuriousNoneBowling,luxurious,None,Bowling,31,,114,83,,,,31,,109,80,,,,31,,104,76,,,,31,,95,69,,,,31,,88,64,,,,31,,81,60,,,,31,,75,55,,,,31,,67,49,,,,31,,60,44,,,,31,,54,39,,,,31,,47,34,,,,31,,42,31,,,,31,,38,27,,,,31,,33,24,,,,31,,28,20,,,,28,,23,17,,,
luxuriousNoneBowling-Tech,luxurious,None,Bowling-Tech,31,,83,129,,,,31,,80,124,,,,31,,76,118,,,,31,,69,107,,,,31,,64,100,,,,31,,60,92,,,,31,,55,85,,,,31,,49,76,,,,31,,44,68,,,,31,,39,61,,,,31,,34,53,,,,31,,31,48,,,,31,,27,43,,,,31,,24,37,,,,31,,20,32,,,,28,,17,26,,,
luxuriousNoneAll-Rounder,luxurious,None,All-Rounder,31,80,80,69,,,,31,77,77,67,,,,31,73,73,63,,,,31,67,67,58,,,,31,62,62,54,,,,31,57,57,50,,,,31,53,53,46,,,,31,47,47,41,,,,31,43,43,37,,,,31,38,38,33,,,,31,33,33,29,,,,31,30,30,26,,,,31,26,26,23,,,,31,23,23,20,,,,31,20,20,17,,,,28,16,16,14,,,
luxuriousNoneKeeping,luxurious,None,Keeping,31,,,83,,243,60,31,,,80,,233,58,31,,,76,,222,55,31,,,69,,203,50,31,,,64,,188,47,31,,,60,,174,43,31,,,55,,160,40,31,,,49,,144,36,31,,,44,,130,32,31,,,39,,115,28,31,,,34,,101,25,31,,,31,,91,22,31,,,27,,81,20,31,,,24,,71,17,31,,,20,,60,15,28,,,17,,50,12
luxuriousNoneKeeper-Batsman,luxurious,None,Keeper-Batsman,31,91,,83,,121,45,31,87,,80,,116,43,31,83,,76,,111,41,31,76,,69,,101,38,31,70,,64,,94,35,31,65,,60,,87,32,31,60,,55,,80,30,31,54,,49,,72,27,31,48,,44,,65,24,31,43,,39,,57,21,31,38,,34,,50,19,31,34,,31,,45,17,31,30,,27,,40,15,31,26,,24,,35,13,31,22,,20,,30,11,28,19,,17,,25,9
luxuriousNoneFielding,luxurious,None,Fielding,31,,,45,,,334,31,,,43,,,321,31,,,41,,,305,31,,,38,,,279,31,,,35,,,259,31,,,32,,,239,31,,,30,,,220,31,,,27,,,198,31,,,24,,,178,31,,,21,,,159,31,,,19,,,139,31,,,17,,,125,31,,,15,,,111,31,,,13,,,97,31,,,11,,,83,28,,,9,,,69
luxuriousNoneFitness,luxurious,None,Fitness,254,,,,44,,,254,,,,53,,,254,,,,61,,,254,,,,70,,,254,,,,74,,,254,,,,80,,,254,,,,84,,,254,,,,88,,,254,,,,88,,,254,,,,88,,,254,,,,88,,,254,,,,88,,,254,,,,80,,,254,,,,70,,,254,,,,61,,,228,,,,53,,
luxuriousNoneStrength,luxurious,None,Strength,82,,,,119,,,82,,,,144,,,82,,,,167,,,82,,,,191,,,82,,,,203,,,82,,,,216,,,82,,,,229,,,82,,,,241,,,82,,,,241,,,82,,,,241,,,82,,,,241,,,82,,,,241,,,82,,,,216,,,82,,,,191,,,82,,,,167,,,74,,,,144,,
luxuriousProdigyBatting,luxurious,Prodigy,Batting,38,136,,100,,,,38,131,,96,,,,38,125,,91,,,,38,114,,83,,,,38,105,,77,,,,31,81,,60,,,,31,75,,55,,,,31,67,,49,,,,31,60,,44,,,,31,54,,39,,,,31,47,,34,,,,31,42,,31,,,,31,38,,27,,,,31,33,,24,,,,31,28,,20,,,,28,23,,17,,,
luxuriousProdigyBatting-Tech,luxurious,Prodigy,Batting-Tech,38,100,,154,,,,38,96,,148,,,,38,91,,141,,,,38,83,,129,,,,38,77,,119,,,,31,60,,92,,,,31,55,,85,,,,31,49,,76,,,,31,44,,68,,,,31,39,,61,,,,31,34,,53,,,,31,31,,48,,,,31,27,,43,,,,31,24,,37,,,,31,20,,32,,,,28,17,,26,,,
luxuriousProdigyBowling,luxurious,Prodigy,Bowling,38,,136,100,,,,38,,131,96,,,,38,,125,91,,,,38,,114,83,,,,38,,105,77,,,,31,,81,60,,,,31,,75,55,,,,31,,67,49,,,,31,,60,44,,,,31,,54,39,,,,31,,47,34,,,,31,,42,31,,,,31,,38,27,,,,31,,33,24,,,,31,,28,20,,,,28,,23,17,,,
